EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents
ep-26509,CC1(C)CCCCO1,0.9040318583527337,7.857830203,-7.545715674,3.9724
ep-26522,CC1(C)COCCO1,0.949807418,7.531293643,-7.879599307,1.152
ep-26557,CC1COC(C)(C)C1,0.8880693148971802,7.706262816,-7.491837142,3.8514
ep-26589,CC1OCOC1(C)C,1.0446462840710447,7.469795924,-7.878782965,3.6484
ep-26591,CCC1(C)COCO1,1.0278248548050313,7.415917391,-8.002866858,4.8654
ep-26593,CC1(C)CCOCO1,0.9288189432218483,7.405304953,-7.930212473,15.6891
ep-26787,COC1(C)CCCC1,0.9377527066156162,8.303008379,-7.61700949,3.8857
ep-26798,COC1(C)CCOC1,0.5233999972829106,7.819734271,-7.635513228,5.9365
ep-26982,CC1COC(C)(C)O1,1.1156433996197501,7.540817626,-7.995791899,2.1144
ep-27028,CCC1(C)OCCO1,1.1258350174254184,7.516599497,-8.047765635,1.8349
ep-27092,COC1(C)CCCO1,0.4610954682458219,7.67578607,-7.772114356,1.6874
ep-27095,CC1(C)OCCCO1,1.0118342086011656,7.855925406,-7.977832388,10.6217
ep-27200,COC1(C)COCO1,1.1366001558207415,7.544082991,-8.178108145,3.1965
ep-27201,CC1(C)OCOCO1,0.9629259902699839,7.037134982,-8.155794814,45.4501
ep-28060,CC1CC(C)C(C)O1,0.8998012798113786,8.152529448,-7.553062747,3.4943
ep-28062,CCC1CCC(C)O1,0.9320594848970664,8.363145529,-7.611022986,2.9145
ep-28067,CC1CCCC(C)O1,0.8962047539352329,8.200421477,-7.548164698,3.9835
ep-28079,CC1COCC(C)O1,1.1763389977654148,7.958240195,-7.874701258,1.4434
ep-28123,CC1OC(C)C(C)O1,1.0546689036923076,7.837149554,-7.942729708,2.9952
ep-28127,CCC1COC(C)O1,1.1070620459349527,7.834156302,-8.020010027,2.4167
ep-28133,CC1CCOC(C)O1,0.9572790000437205,7.906266459,-7.936471091,8.5063
ep-28188,CCC1OCC(C)O1,1.076511794690226,7.731025172,-7.983546778,2.4647
ep-28217,COC1CCC(C)O1,1.1096705320910702,7.823543864,-7.888579062,1.6943
ep-28435,CC1OCCC1(C)C,0.8958467569431856,8.098650916,-7.545715674,4.3827
ep-28436,CC(C)C1CCCO1,0.8727519999984836,8.212666598,-7.65782656,3.957
ep-28440,CC1CCCOC1C,0.8966534970087336,8.008581248,-7.520409091,5.8624
ep-28457,CC1OCCOC1C,1.2603314008785047,7.963954585,-7.994703444,1.0914
ep-28493,CCC1OCCC1C,0.8720169414849587,8.127222865,-7.549525267,5.9071
ep-28495,CCC1CCCCO1,0.9152212530274735,8.081235632,-7.532382098,3.8801
ep-28498,CCOC1CCCC1,0.9477499843650032,8.325049597,-7.602043231,3.9901
ep-28512,CCC1COCCO1,1.2566612311006313,7.738644358,-7.960961333,1.0772
ep-28513,CCOC1CCOC1,0.63125866050177,7.949804667,-7.669799567,7.7964
ep-28559,CC1COC(C)C1C,0.8992943146051857,7.995519785,-7.528572505,4.1113
ep-28561,CCC1CC(C)CO1,0.8912448551981611,7.898375159,-7.529388846,4.3071
ep-28564,CC1CCC(C)OC1,0.8956086252104721,8.112256606,-7.556055998,5.8516
ep-28614,CCC1CCOC1C,0.897224044511671,8.105453761,-7.546532015,3.8728
ep-28616,CCCC1CCCO1,0.8804058878834187,7.946539301,-7.541906081,4.3163
ep-28620,CC1CCOC(C)C1,0.8982927887602158,8.185183104,-7.6270777,7.4884
ep-28759,CC1COC(C)CO1,0.9335164700366683,7.710072409,-7.924770197,1.1045
ep-28803,COC1CCOC1C,0.9268921987580683,7.980281413,-7.709800295,5.0196
ep-28805,COCC1CCCO1,0.9520356258562317,7.833612074,-7.670888022,9.6586
ep-29046,CC1CC(C)(C)CO1,0.8657457688970052,7.911980849,-7.548164698,7.4829
ep-29061,CCC1COC(C)C1,0.8680100020194316,7.992798647,-7.544355105,7.0967
ep-29095,COC1COC(C)C1,0.6022178604340589,8.026540759,-7.653472739,4.686
ep-29164,COC1OCC(C)O1,0.80564168680876,7.356052355,-8.171849528,21.3512
ep-29282,CC(C)C1COCO1,1.0558383754816054,7.635513228,-8.089399046,5.083
ep-29284,CC1COCOC1C,0.9430734722656723,7.740821269,-8.018105231,28.0063
ep-29316,CCC1OCOC1C,0.9919929865454544,7.602859572,-7.974294909,8.448
ep-29317,CCC1CCOCO1,0.9300291559504186,7.460271941,-7.976471819,32.5768
